TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;09011650100;09;011;6501.00;1
TRACT;09011660101;09;011;6601.01;1
TRACT;09011660103;09;011;6601.03;1
TRACT;09011660104;09;011;6601.04;1
TRACT;09011690300;09;011;6903.00;1
TRACT;09011690400;09;011;6904.00;1
TRACT;09011690500;09;011;6905.00;1
TRACT;09011690700;09;011;6907.00;1
TRACT;09011690800;09;011;6908.00;1
TRACT;09011690900;09;011;6909.00;1
TRACT;09011693300;09;011;6933.00;1
TRACT;09011693400;09;011;6934.00;1
TRACT;09011693500;09;011;6935.00;1
TRACT;09011693600;09;011;6936.00;1
TRACT;09011693700;09;011;6937.00;1
TRACT;09011695201;09;011;6952.01;1
TRACT;09011695202;09;011;6952.02;1
TRACT;09011696100;09;011;6961.00;1
TRACT;09011696200;09;011;6962.00;1
TRACT;09011696300;09;011;6963.00;1
TRACT;09011696401;09;011;6964.01;1
TRACT;09011696500;09;011;6965.00;1
TRACT;09011696600;09;011;6966.00;1
TRACT;09011696701;09;011;6967.01;1
TRACT;09011696800;09;011;6968.00;1
TRACT;09011697000;09;011;6970.00;1
TRACT;09011700100;09;011;7001.00;1
TRACT;09011701100;09;011;7011.00;1
TRACT;09011701200;09;011;7012.00;1
TRACT;09011702100;09;011;7021.00;1
TRACT;09011702300;09;011;7023.00;1
TRACT;09011702400;09;011;7024.00;1
TRACT;09011702500;09;011;7025.00;1
TRACT;09011702600;09;011;7026.00;1
TRACT;09011702700;09;011;7027.00;1
TRACT;09011702800;09;011;7028.00;1
TRACT;09011702900;09;011;7029.00;1
TRACT;09011703000;09;011;7030.00;1
TRACT;09011705101;09;011;7051.01;1
TRACT;09011705102;09;011;7051.02;1
TRACT;09011705200;09;011;7052.00;1
TRACT;09011705300;09;011;7053.00;1
TRACT;09011705400;09;011;7054.00;1
TRACT;09011707100;09;011;7071.00;1
TRACT;09011708100;09;011;7081.00;1
TRACT;09011709100;09;011;7091.00;1
TRACT;09011709200;09;011;7092.00;1
TRACT;09011710100;09;011;7101.00;1
TRACT;09011711100;09;011;7111.00;1
TRACT;09011712100;09;011;7121.00;1
TRACT;09011713100;09;011;7131.00;1
TRACT;09011714101;09;011;7141.01;1
TRACT;09011714103;09;011;7141.03;1
TRACT;09011714104;09;011;7141.04;1
TRACT;09011715100;09;011;7151.00;1
TRACT;09011716101;09;011;7161.01;1
TRACT;09011716102;09;011;7161.02;1
TRACT;09011870100;09;011;8701.00;1
TRACT;09011870200;09;011;8702.00;1
TRACT;09011870300;09;011;8703.00;1
TRACT;09011870501;09;011;8705.01;1
TRACT;09011870502;09;011;8705.02;1
TRACT;09011870701;09;011;8707.01;1
TRACT;09011870703;09;011;8707.03;1
TRACT;09011870704;09;011;8707.04;1
TRACT;09011980000;09;011;9800.00;1
TRACT;09011990100;09;011;9901.00;1
