TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;09003496400;09;003;4964.00;1
TRACT;09003496500;09;003;4965.00;1
TRACT;09003496600;09;003;4966.00;1
TRACT;09003496700;09;003;4967.00;1
TRACT;09003496800;09;003;4968.00;1
TRACT;09003496900;09;003;4969.00;1
TRACT;09003497000;09;003;4970.00;1
TRACT;09003497100;09;003;4971.00;1
TRACT;09003497200;09;003;4972.00;1
TRACT;09003497300;09;003;4973.00;1
TRACT;09003497400;09;003;4974.00;1
TRACT;09003497500;09;003;4975.00;1
TRACT;09003497600;09;003;4976.00;1
TRACT;09003497700;09;003;4977.00;1
TRACT;09003500100;09;003;5001.00;1
TRACT;09003500200;09;003;5002.00;1
TRACT;09003500300;09;003;5003.00;1
TRACT;09003500400;09;003;5004.00;1
TRACT;09003500500;09;003;5005.00;1
TRACT;09003500900;09;003;5009.00;1
TRACT;09003501200;09;003;5012.00;1
TRACT;09003501300;09;003;5013.00;1
TRACT;09003501400;09;003;5014.00;1
TRACT;09003501500;09;003;5015.00;1
TRACT;09003501700;09;003;5017.00;1
TRACT;09003501800;09;003;5018.00;1
TRACT;09003502100;09;003;5021.00;1
TRACT;09003502300;09;003;5023.00;1
TRACT;09003502400;09;003;5024.00;1
TRACT;09003502500;09;003;5025.00;1
TRACT;09003502600;09;003;5026.00;1
TRACT;09003502700;09;003;5027.00;1
TRACT;09003502800;09;003;5028.00;1
TRACT;09003502900;09;003;5029.00;1
TRACT;09003503000;09;003;5030.00;1
TRACT;09003503101;09;003;5031.01;1
TRACT;09003503102;09;003;5031.02;1
TRACT;09003503300;09;003;5033.00;1
TRACT;09003503500;09;003;5035.00;1
TRACT;09003503700;09;003;5037.00;1
TRACT;09003503800;09;003;5038.00;1
TRACT;09003503900;09;003;5039.00;1
TRACT;09003504000;09;003;5040.00;1
TRACT;09003504100;09;003;5041.00;1
TRACT;09003504200;09;003;5042.00;1
TRACT;09003504300;09;003;5043.00;1
TRACT;09003504500;09;003;5045.00;1
TRACT;09003504800;09;003;5048.00;1
TRACT;09003504900;09;003;5049.00;1
TRACT;09003510100;09;003;5101.00;1
TRACT;09003510200;09;003;5102.00;1
TRACT;09003510300;09;003;5103.00;1
TRACT;09003510400;09;003;5104.00;1
TRACT;09003510500;09;003;5105.00;1
TRACT;09003510600;09;003;5106.00;1
TRACT;09003510700;09;003;5107.00;1
TRACT;09003510800;09;003;5108.00;1
TRACT;09003510900;09;003;5109.00;1
TRACT;09003511000;09;003;5110.00;1
TRACT;09003511100;09;003;5111.00;1
TRACT;09003511200;09;003;5112.00;1
TRACT;09003511300;09;003;5113.00;1
TRACT;09003511400;09;003;5114.00;1
TRACT;09003514101;09;003;5141.01;1
TRACT;09003514103;09;003;5141.03;1
TRACT;09003514104;09;003;5141.04;1
TRACT;09003514200;09;003;5142.00;1
TRACT;09003514300;09;003;5143.00;1
TRACT;09003514400;09;003;5144.00;1
TRACT;09003514500;09;003;5145.00;1
TRACT;09003514600;09;003;5146.00;1
TRACT;09003514700;09;003;5147.00;1
TRACT;09003514800;09;003;5148.00;1
TRACT;09003514900;09;003;5149.00;1
TRACT;09003515000;09;003;5150.00;1
TRACT;09003515101;09;003;5151.01;1
TRACT;09003515102;09;003;5151.02;1
TRACT;09003515200;09;003;5152.00;1
TRACT;09003520100;09;003;5201.00;1
TRACT;09003520201;09;003;5202.01;1
TRACT;09003520202;09;003;5202.02;1
TRACT;09003520301;09;003;5203.01;1
TRACT;09003520302;09;003;5203.02;1
TRACT;09003520400;09;003;5204.00;1
TRACT;09003520501;09;003;5205.01;1
TRACT;09003524100;09;003;5241.00;1
TRACT;09003524200;09;003;5242.00;1
TRACT;09003524300;09;003;5243.00;1
TRACT;09003524400;09;003;5244.00;1
TRACT;09003524501;09;003;5245.01;1
TRACT;09003524502;09;003;5245.02;1
TRACT;09003524600;09;003;5246.00;1
TRACT;09003524700;09;003;5247.00;1
TRACT;09003980001;09;003;9800.01;1
TRACT;09003980002;09;003;9800.02;1
TRACT;09003980003;09;003;9800.03;1
TRACT;09003980100;09;003;9801.00;1
