TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;09003330100;09;003;3301.00;1
TRACT;09003400101;09;003;4001.01;1
TRACT;09003400102;09;003;4001.02;1
TRACT;09003400200;09;003;4002.00;1
TRACT;09003400300;09;003;4003.00;1
TRACT;09003405100;09;003;4051.00;1
TRACT;09003405200;09;003;4052.00;1
TRACT;09003405300;09;003;4053.00;1
TRACT;09003405401;09;003;4054.01;1
TRACT;09003405402;09;003;4054.02;1
TRACT;09003405500;09;003;4055.00;1
TRACT;09003405600;09;003;4056.00;1
TRACT;09003405700;09;003;4057.00;1
TRACT;09003405801;09;003;4058.01;1
TRACT;09003405802;09;003;4058.02;1
TRACT;09003405900;09;003;4059.00;1
TRACT;09003406001;09;003;4060.01;1
TRACT;09003406002;09;003;4060.02;1
TRACT;09003406100;09;003;4061.00;1
TRACT;09003410101;09;003;4101.01;1
TRACT;09003410102;09;003;4101.02;1
TRACT;09003415300;09;003;4153.00;1
TRACT;09003415400;09;003;4154.00;1
TRACT;09003415500;09;003;4155.00;1
TRACT;09003415600;09;003;4156.00;1
TRACT;09003415700;09;003;4157.00;1
TRACT;09003415800;09;003;4158.00;1
TRACT;09003415900;09;003;4159.00;1
TRACT;09003416000;09;003;4160.00;1
TRACT;09003416100;09;003;4161.00;1
TRACT;09003416200;09;003;4162.00;1
TRACT;09003416300;09;003;4163.00;1
TRACT;09003416400;09;003;4164.00;1
TRACT;09003416500;09;003;4165.00;1
TRACT;09003416600;09;003;4166.00;1
TRACT;09003416700;09;003;4167.00;1
TRACT;09003416800;09;003;4168.00;1
TRACT;09003417100;09;003;4171.00;1
TRACT;09003417200;09;003;4172.00;1
TRACT;09003417300;09;003;4173.00;1
TRACT;09003417400;09;003;4174.00;1
TRACT;09003417500;09;003;4175.00;1
TRACT;09003420400;09;003;4204.00;1
TRACT;09003420500;09;003;4205.00;1
TRACT;09003420601;09;003;4206.01;1
TRACT;09003420602;09;003;4206.02;1
TRACT;09003420700;09;003;4207.00;1
TRACT;09003430100;09;003;4301.00;1
TRACT;09003430201;09;003;4302.01;1
TRACT;09003430202;09;003;4302.02;1
TRACT;09003430203;09;003;4302.03;1
TRACT;09003430301;09;003;4303.01;1
TRACT;09003430302;09;003;4303.02;1
TRACT;09003430400;09;003;4304.00;1
TRACT;09003430501;09;003;4305.01;1
TRACT;09003430502;09;003;4305.02;1
TRACT;09003430602;09;003;4306.02;1
TRACT;09003430603;09;003;4306.03;1
TRACT;09003430604;09;003;4306.04;1
TRACT;09003460100;09;003;4601.00;1
TRACT;09003460202;09;003;4602.02;1
TRACT;09003460203;09;003;4602.03;1
TRACT;09003460204;09;003;4602.04;1
TRACT;09003460301;09;003;4603.01;1
TRACT;09003460302;09;003;4603.02;1
TRACT;09003462101;09;003;4621.01;1
TRACT;09003462102;09;003;4621.02;1
TRACT;09003462201;09;003;4622.01;1
TRACT;09003462202;09;003;4622.02;1
TRACT;09003464101;09;003;4641.01;1
TRACT;09003464102;09;003;4641.02;1
TRACT;09003466101;09;003;4661.01;1
TRACT;09003466102;09;003;4661.02;1
TRACT;09003466201;09;003;4662.01;1
TRACT;09003466202;09;003;4662.02;1
TRACT;09003466300;09;003;4663.00;1
TRACT;09003466400;09;003;4664.00;1
TRACT;09003468101;09;003;4681.01;1
TRACT;09003468102;09;003;4681.02;1
TRACT;09003470100;09;003;4701.00;1
TRACT;09003471100;09;003;4711.00;1
TRACT;09003471200;09;003;4712.00;1
TRACT;09003471300;09;003;4713.00;1
TRACT;09003471400;09;003;4714.00;1
TRACT;09003471500;09;003;4715.00;1
TRACT;09003473100;09;003;4731.00;1
TRACT;09003473400;09;003;4734.00;1
TRACT;09003473501;09;003;4735.01;1
TRACT;09003473502;09;003;4735.02;1
TRACT;09003473601;09;003;4736.01;1
TRACT;09003473602;09;003;4736.02;1
TRACT;09003473700;09;003;4737.00;1
TRACT;09003473800;09;003;4738.00;1
TRACT;09003476100;09;003;4761.00;1
TRACT;09003476200;09;003;4762.00;1
TRACT;09003476300;09;003;4763.00;1
TRACT;09003477101;09;003;4771.01;1
TRACT;09003477103;09;003;4771.03;1
TRACT;09003477104;09;003;4771.04;1
TRACT;09003477200;09;003;4772.00;1
TRACT;09003480300;09;003;4803.00;1
TRACT;09003480400;09;003;4804.00;1
TRACT;09003480500;09;003;4805.00;1
TRACT;09003480600;09;003;4806.00;1
TRACT;09003480700;09;003;4807.00;1
TRACT;09003480800;09;003;4808.00;1
TRACT;09003480900;09;003;4809.00;1
TRACT;09003481000;09;003;4810.00;1
TRACT;09003481100;09;003;4811.00;1
TRACT;09003481200;09;003;4812.00;1
TRACT;09003481300;09;003;4813.00;1
TRACT;09003484100;09;003;4841.00;1
TRACT;09003484200;09;003;4842.00;1
TRACT;09003487100;09;003;4871.00;1
TRACT;09003487201;09;003;4872.01;1
TRACT;09003487202;09;003;4872.02;1
TRACT;09003487300;09;003;4873.00;1
TRACT;09003487400;09;003;4874.00;1
TRACT;09003487500;09;003;4875.00;1
TRACT;09003490100;09;003;4901.00;1
TRACT;09003490303;09;003;4903.03;1
TRACT;09003490304;09;003;4903.04;1
TRACT;09003492100;09;003;4921.00;1
TRACT;09003492200;09;003;4922.00;1
TRACT;09003492300;09;003;4923.00;1
TRACT;09003492400;09;003;4924.00;1
TRACT;09003492500;09;003;4925.00;1
TRACT;09003492600;09;003;4926.00;1
TRACT;09003494100;09;003;4941.00;1
TRACT;09003494201;09;003;4942.01;1
TRACT;09003494202;09;003;4942.02;1
TRACT;09003494300;09;003;4943.00;1
TRACT;09003494400;09;003;4944.00;1
TRACT;09003494500;09;003;4945.00;1
TRACT;09003494600;09;003;4946.00;1
TRACT;09003496100;09;003;4961.00;1
TRACT;09003496200;09;003;4962.00;1
TRACT;09003496300;09;003;4963.00;1
