TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;09001010101;09;001;101.01;2
TRACT;09001010102;09;001;101.02;2
TRACT;09001010201;09;001;102.01;2
TRACT;09001010202;09;001;102.02;2
TRACT;09001010300;09;001;103.00;2
TRACT;09001010400;09;001;104.00;2
TRACT;09001010500;09;001;105.00;2
TRACT;09001010600;09;001;106.00;2
TRACT;09001010700;09;001;107.00;2
TRACT;09001010800;09;001;108.00;2
TRACT;09001010900;09;001;109.00;2
TRACT;09001011000;09;001;110.00;2
TRACT;09001011100;09;001;111.00;2
TRACT;09001011200;09;001;112.00;2
TRACT;09001011300;09;001;113.00;2
TRACT;09001020101;09;001;201.01;2
TRACT;09001020102;09;001;201.02;2
TRACT;09001020200;09;001;202.00;2
TRACT;09001020301;09;001;203.01;2
TRACT;09001020302;09;001;203.02;2
TRACT;09001020400;09;001;204.00;2
TRACT;09001020500;09;001;205.00;2
TRACT;09001020600;09;001;206.00;2
TRACT;09001020700;09;001;207.00;2
TRACT;09001020800;09;001;208.00;2
TRACT;09001020900;09;001;209.00;2
TRACT;09001021000;09;001;210.00;2
TRACT;09001021100;09;001;211.00;2
TRACT;09001021200;09;001;212.00;2
TRACT;09001021300;09;001;213.00;2
TRACT;09001021401;09;001;214.01;2
TRACT;09001021402;09;001;214.02;2
TRACT;09001021501;09;001;215.01;2
TRACT;09001021502;09;001;215.02;2
TRACT;09001021601;09;001;216.01;2
TRACT;09001021602;09;001;216.02;2
TRACT;09001021701;09;001;217.01;2
TRACT;09001021702;09;001;217.02;2
TRACT;09001021801;09;001;218.01;2
TRACT;09001021802;09;001;218.02;2
TRACT;09001021900;09;001;219.00;2
TRACT;09001022000;09;001;220.00;2
TRACT;09001022101;09;001;221.01;2
TRACT;09001022102;09;001;221.02;2
TRACT;09001022201;09;001;222.01;2
TRACT;09001022202;09;001;222.02;2
TRACT;09001022300;09;001;223.00;2
TRACT;09001022400;09;001;224.00;2
TRACT;09001030100;09;001;301.00;2
TRACT;09001030200;09;001;302.00;2
TRACT;09001030300;09;001;303.00;2
TRACT;09001030400;09;001;304.00;2
TRACT;09001030500;09;001;305.00;2
TRACT;09001035101;09;001;351.01;2
TRACT;09001035102;09;001;351.02;2
TRACT;09001035200;09;001;352.00;2
TRACT;09001035300;09;001;353.00;2
TRACT;09001035400;09;001;354.00;2
TRACT;09001042500;09;001;425.00;2
TRACT;09001042600;09;001;426.00;2
TRACT;09001042700;09;001;427.00;2
TRACT;09001042800;09;001;428.00;2
TRACT;09001042900;09;001;429.00;2
TRACT;09001043000;09;001;430.00;2
TRACT;09001043100;09;001;431.00;2
