TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;09013526101;09;013;5261.01;1
TRACT;09013526102;09;013;5261.02;1
TRACT;09013528100;09;013;5281.00;1
TRACT;09013529100;09;013;5291.00;1
TRACT;09013530100;09;013;5301.00;1
TRACT;09013530200;09;013;5302.00;1
TRACT;09013530301;09;013;5303.01;1
TRACT;09013530302;09;013;5303.02;1
TRACT;09013530400;09;013;5304.00;1
TRACT;09013530500;09;013;5305.00;1
TRACT;09013530600;09;013;5306.00;1
TRACT;09013533102;09;013;5331.02;1
TRACT;09013533103;09;013;5331.03;1
TRACT;09013533104;09;013;5331.04;1
TRACT;09013535101;09;013;5351.01;1
TRACT;09013535102;09;013;5351.02;1
TRACT;09013535200;09;013;5352.00;1
TRACT;09013538100;09;013;5381.00;1
TRACT;09013538201;09;013;5382.01;1
TRACT;09013538202;09;013;5382.02;1
TRACT;09013840100;09;013;8401.00;1
TRACT;09013850100;09;013;8501.00;1
TRACT;09013850200;09;013;8502.00;1
TRACT;09013860100;09;013;8601.00;1
TRACT;09013881100;09;013;8811.00;1
TRACT;09013881200;09;013;8812.00;1
TRACT;09013881300;09;013;8813.00;1
TRACT;09013881500;09;013;8815.00;1
TRACT;09013890100;09;013;8901.00;1
TRACT;09013890202;09;013;8902.02;1
TRACT;09013890203;09;013;8902.03;1
TRACT;09013890204;09;013;8902.04;1
