TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;09009120100;09;009;1201.00;1
TRACT;09009120200;09;009;1202.00;1
TRACT;09009125100;09;009;1251.00;1
TRACT;09009125200;09;009;1252.00;1
TRACT;09009125300;09;009;1253.00;1
TRACT;09009125400;09;009;1254.00;1
TRACT;09009130101;09;009;1301.01;1
TRACT;09009130102;09;009;1301.02;1
TRACT;09009130201;09;009;1302.01;1
TRACT;09009130202;09;009;1302.02;1
TRACT;09009140101;09;009;1401.01;1
TRACT;09009140102;09;009;1401.02;1
TRACT;09009140200;09;009;1402.00;1
TRACT;09009140300;09;009;1403.00;1
TRACT;09009140400;09;009;1404.00;1
TRACT;09009140500;09;009;1405.00;1
TRACT;09009140600;09;009;1406.00;1
TRACT;09009140700;09;009;1407.00;1
TRACT;09009140800;09;009;1408.00;1
TRACT;09009140900;09;009;1409.00;1
TRACT;09009141000;09;009;1410.00;1
TRACT;09009141100;09;009;1411.00;1
TRACT;09009141200;09;009;1412.00;1
TRACT;09009141301;09;009;1413.01;1
TRACT;09009141400;09;009;1414.00;1
TRACT;09009141500;09;009;1415.00;1
TRACT;09009141600;09;009;1416.00;1
TRACT;09009141800;09;009;1418.00;1
TRACT;09009141900;09;009;1419.00;1
TRACT;09009142000;09;009;1420.00;1
TRACT;09009142100;09;009;1421.00;1
TRACT;09009142200;09;009;1422.00;1
TRACT;09009142300;09;009;1423.00;1
TRACT;09009142400;09;009;1424.00;1
TRACT;09009142500;09;009;1425.00;1
TRACT;09009142601;09;009;1426.01;1
TRACT;09009142604;09;009;1426.04;1
TRACT;09009142605;09;009;1426.05;1
TRACT;09009142700;09;009;1427.00;1
TRACT;09009142800;09;009;1428.00;1
TRACT;09009150100;09;009;1501.00;1
TRACT;09009150200;09;009;1502.00;1
TRACT;09009150300;09;009;1503.00;1
TRACT;09009150400;09;009;1504.00;1
TRACT;09009150500;09;009;1505.00;1
TRACT;09009150600;09;009;1506.00;1
TRACT;09009150700;09;009;1507.00;1
