Census Tract,Town,Distressed Tract,CLM $ Collected ,% of Total CLM $ Collected ,Incentive Disbursements,% of Total Incentive Disbursements,Residential CLM $ Collected,% of Total Residential CLM $ Collected,Residential Incentive Disbursements,% of Total Residential Incentive Disbursements ,C&I CLM $ Collected,% of Total C&I CLM $ Collected,C&I Incentive Disbursements,% of TotalC&I Incentive Disbursements ,Census Tract,
9009150400,Milford,No,"$86,156.89 ",0.002997007,"$7,949.18 ",0.000411727,"$78,963.20 ",0.28%,"$6,794.18 ",0.04%,"$7,193.69 ",0.03%,"$1,155.00 ",0.01%,09009150400,
9009150500,Milford,No,"$96,207.55 ",0.003346624,"$26,796.29 ",0.001387913,"$82,375.95 ",0.29%,"$15,554.29 ",0.08%,"$13,831.60 ",0.05%,"$11,242.00 ",0.06%,09009150500,
9009150600,Milford,No,"$183,869.76 ",0.006395994,"$187,001.96 ",0.009685759,"$131,559.20 ",0.46%,"$131,798.35 ",0.68%,"$52,310.56 ",0.18%,"$55,203.61 ",0.29%,09009150600,
9009150700,Milford,No,"$124,829.66 ",0.004342257,"$20,390.64 ",0.001056132,"$100,500.41 ",0.35%,"$17,515.64 ",0.09%,"$24,329.24 ",0.09%,"$2,875.00 ",0.02%,09009150700,
9009150800,Milford,No,"$173,539.23 ",0.006036642,"$39,185.04 ",0.002029588,"$71,235.73 ",0.25%,"$13,399.04 ",0.07%,"$102,303.50 ",0.36%,"$25,786.00 ",0.13%,09009150800,
9009150900,Milford,No,"$128,124.88 ",0.004456883,"$29,715.89 ",0.001539133,"$90,920.63 ",0.32%,"$21,163.89 ",0.11%,"$37,204.25 ",0.13%,"$8,552.00 ",0.04%,09009150900,
9009151000,Milford,No,"$87,578.78 ",0.003046468,"$23,215.06 ",0.001202423,"$84,261.83 ",0.29%,"$22,260.06 ",0.12%,"$3,316.94 ",0.01%,$955.00 ,0.01%,09009151000,
9009151100,Milford,No,"$169,710.46 ",0.005903456,"$46,973.52 ",0.002432992,"$119,895.98 ",0.42%,"$14,595.02 ",0.08%,"$49,814.48 ",0.17%,"$32,378.50 ",0.17%,09009151100,
9009151200,Milford,No,"$106,560.73 ",0.003706764,"$26,344.09 ",0.001364491,"$53,123.69 ",0.19%,"$8,526.09 ",0.04%,"$53,437.04 ",0.19%,"$17,818.00 ",0.09%,09009151200,
9009154700,Milford,No,$4.16 ,0.000000145,$175.00 ,0.000009064,$4.16 ,0.00%,$175.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009154700,
9009157100,Milford,No,$13.63 ,0.000000474,$35.00 ,0.000001813,$13.63 ,0.00%,$35.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009157100,
UNKNOWN,NCP,No,$0.00 ,0,"$1,939,273.00 ",0.10044457,$0.00 ,0.00%,"$1,939,273.00 ",10.04%,$0.00 ,0.00%,$0.00 ,0.00%,0UNKNOWN,
9009140100,New Haven,Yes,"$185,058.73 ",0.006437353,"$17,734.00 ",0.000918532,"$47,218.96 ",0.16%,$70.00 ,0.00%,"$137,839.77 ",0.48%,"$17,664.00 ",0.09%,09009140100,
9009140200,New Haven,Yes,"$63,309.39 ",0.002202246,"$37,984.00 ",0.00196738,"$3,041.04 ",0.01%,$0.00 ,0.00%,"$60,268.35 ",0.21%,"$37,984.00 ",0.20%,09009140200,
9009140300,New Haven,Yes,"$58,799.34 ",0.002045362,"$3,820.88 ",0.000197902,"$30,533.42 ",0.11%,"$1,467.88 ",0.01%,"$28,265.92 ",0.10%,"$2,353.00 ",0.01%,09009140300,
9009140400,New Haven,Yes,"$55,083.58 ",0.001916107,"$65,733.18 ",0.003404648,"$39,217.42 ",0.14%,"$5,236.18 ",0.03%,"$15,866.16 ",0.06%,"$60,497.00 ",0.31%,09009140400,
9009140500,New Haven,Yes,"$59,118.98 ",0.002056481,"$3,325.65 ",0.000172252,"$39,651.44 ",0.14%,$891.65 ,0.01%,"$19,467.53 ",0.07%,"$2,434.00 ",0.01%,09009140500,
9009140600,New Haven,Yes,"$72,151.10 ",0.002509809,"$77,047.81 ",0.003990688,"$51,021.61 ",0.18%,"$61,774.82 ",0.32%,"$21,129.49 ",0.07%,"$15,272.99 ",0.08%,09009140600,
9009140700,New Haven,Yes,"$75,142.12 ",0.002613853,"$9,242.45 ",0.000478712,"$46,375.96 ",0.16%,"$2,029.45 ",0.01%,"$28,766.16 ",0.10%,"$7,213.00 ",0.04%,09009140700,
9009140800,New Haven,Yes,"$71,911.33 ",0.002501469,"$6,149.33 ",0.000318504,"$49,121.21 ",0.17%,"$2,189.33 ",0.01%,"$22,790.12 ",0.08%,"$3,960.00 ",0.02%,09009140800,
9009140900,New Haven,Yes,"$66,631.44 ",0.002317805,"$22,435.44 ",0.001162043,"$54,762.03 ",0.19%,"$7,237.44 ",0.04%,"$11,869.41 ",0.04%,"$15,198.00 ",0.08%,09009140900,
9009141000,New Haven,No,"$67,171.74 ",0.0023366,"$10,366.81 ",0.000536949,"$60,623.56 ",0.21%,"$7,991.81 ",0.04%,"$6,548.18 ",0.02%,"$2,375.00 ",0.01%,09009141000,
9009141100,New Haven,No,"$48,977.63 ",0.001703709,"$35,404.64 ",0.001833782,"$48,699.72 ",0.17%,"$34,634.64 ",0.18%,$277.91 ,0.00%,$770.00 ,0.00%,09009141100,
9009141200,New Haven,No,"$106,302.55 ",0.003697783,"$99,028.75 ",0.00512919,"$65,845.03 ",0.23%,"$20,741.56 ",0.11%,"$40,457.52 ",0.14%,"$78,287.19 ",0.41%,09009141200,
9009141300,New Haven,Yes,"$108,880.84 ",0.00378747,"$76,467.27 ",0.003960619,"$71,389.72 ",0.25%,"$50,004.27 ",0.26%,"$37,491.13 ",0.13%,"$26,463.00 ",0.14%,09009141300,
9009141400,New Haven,No,"$80,027.71 ",0.002783801,"$35,787.18 ",0.001853596,"$67,099.07 ",0.23%,"$15,432.18 ",0.08%,"$12,928.64 ",0.05%,"$20,355.00 ",0.11%,09009141400,
9009141500,New Haven,Yes,"$110,019.23 ",0.003827069,"$11,519.21 ",0.000596637,"$97,346.58 ",0.34%,"$8,103.46 ",0.04%,"$12,672.65 ",0.04%,"$3,415.75 ",0.02%,09009141500,
9009141600,New Haven,Yes,"$98,137.86 ",0.00341377,"$151,209.75 ",0.007831903,"$64,824.45 ",0.23%,"$10,481.00 ",0.05%,"$33,313.41 ",0.12%,"$140,728.75 ",0.73%,09009141600,
9009141800,New Haven,No,"$81,662.02 ",0.002840651,"$175,153.38 ",0.009072063,"$57,442.79 ",0.20%,"$9,811.38 ",0.05%,"$24,219.23 ",0.08%,"$165,342.00 ",0.86%,09009141800,
9009141900,New Haven,No,"$77,922.51 ",0.00271057,"$5,734.91 ",0.000297039,"$62,956.21 ",0.22%,"$3,439.91 ",0.02%,"$14,966.30 ",0.05%,"$2,295.00 ",0.01%,09009141900,
9009142000,New Haven,No,"$101,024.69 ",0.00351419,"$7,377.09 ",0.000382096,"$50,331.83 ",0.18%,"$2,769.09 ",0.01%,"$50,692.86 ",0.18%,"$4,608.00 ",0.02%,09009142000,
9009142100,New Haven,Yes,"$47,491.96 ",0.001652029,"$13,026.24 ",0.000674694,"$22,786.62 ",0.08%,"$1,670.74 ",0.01%,"$24,705.34 ",0.09%,"$11,355.50 ",0.06%,09009142100,
9009142200,New Haven,No,"$56,919.21 ",0.001979961,"$36,761.10 ",0.00190404,"$28,727.20 ",0.10%,"$4,005.10 ",0.02%,"$28,192.01 ",0.10%,"$32,756.00 ",0.17%,09009142200,
9009142300,New Haven,Yes,"$83,431.73 ",0.002902211,"$14,345.16 ",0.000743007,"$53,084.54 ",0.19%,"$1,445.41 ",0.01%,"$30,347.19 ",0.11%,"$12,899.75 ",0.07%,09009142300,
9009142400,New Haven,Yes,"$93,081.07 ",0.003237868,"$21,139.64 ",0.001094927,"$59,342.55 ",0.21%,"$3,388.10 ",0.02%,"$33,738.52 ",0.12%,"$17,751.54 ",0.09%,09009142400,
9009142500,New Haven,Yes,"$89,888.50 ",0.003126813,"$5,806.08 ",0.000300726,"$68,011.52 ",0.24%,"$2,336.08 ",0.01%,"$21,876.98 ",0.08%,"$3,470.00 ",0.02%,09009142500,
9009142601,New Haven,No,"$114,245.44 ",0.00397408,"$49,276.89 ",0.002552295,"$98,732.24 ",0.34%,"$47,686.89 ",0.25%,"$15,513.19 ",0.05%,"$1,590.00 ",0.01%,09009142601,
9009142601,New Haven,Yes,$0.00 ,0,$500.80 ,0.000025939,$0.00 ,0.00%,$500.80 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009142601,
9009142603,New Haven,Yes,"$60,387.71 ",0.002100614,"$8,756.07 ",0.00045352,"$50,489.48 ",0.18%,"$2,405.07 ",0.01%,"$9,898.23 ",0.03%,"$6,351.00 ",0.03%,09009142603,
9009142604,New Haven,No,"$48,562.61 ",0.001689273,"$10,977.12 ",0.00056856,"$43,032.20 ",0.15%,"$6,526.12 ",0.03%,"$5,530.41 ",0.02%,"$4,451.00 ",0.02%,09009142604,
9009142700,New Haven,No,"$121,207.67 ",0.004216264,"$25,111.31 ",0.001300639,"$89,514.38 ",0.31%,"$12,671.31 ",0.07%,"$31,693.28 ",0.11%,"$12,440.00 ",0.06%,09009142700,
9009142800,New Haven,No,"$94,782.30 ",0.003297046,"$47,371.87 ",0.002453624,"$85,025.03 ",0.30%,"$25,321.87 ",0.13%,"$9,757.27 ",0.03%,"$22,050.00 ",0.11%,09009142800,
9009154100,New Haven,No,$63.65 ,0.000002214,"$1,590.00 ",0.000082354,$63.65 ,0.00%,"$1,590.00 ",0.01%,$0.00 ,0.00%,$0.00 ,0.00%,09009154100,
9009154600,New Haven,No,$147.21 ,0.000005121,$0.00 ,0,$81.25 ,0.00%,$0.00 ,0.00%,$65.96 ,0.00%,$0.00 ,0.00%,09009154600,
9009160200,New Haven,No,$11.74 ,0.000000408,$315.00 ,0.000016315,$0.00 ,0.00%,$315.00 ,0.00%,$11.74 ,0.00%,$0.00 ,0.00%,09009160200,
9009165400,New Haven,No,$163.90 ,0.000005701,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,$163.90 ,0.00%,$0.00 ,0.00%,09009165400,
9009165500,New Haven,Yes,"$1,095.37 ",0.000038103,$0.00 ,0,$566.05 ,0.00%,$0.00 ,0.00%,$529.31 ,0.00%,$0.00 ,0.00%,09009165500,
9009165600,New Haven,No,$34.06 ,0.000001185,$0.00 ,0,$34.06 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009165600,
9009165700,New Haven,No,$8.88 ,0.000000309,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,$8.88 ,0.00%,$0.00 ,0.00%,09009165700,
9009165802,New Haven,No,$222.47 ,0.000007739,"$1,558.64 ",0.00008073,$0.00 ,0.00%,"$1,558.64 ",0.01%,$222.47 ,0.00%,$0.00 ,0.00%,09009165802,
9009166002,New Haven,No,$1.16 ,0.00000004,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,$1.16 ,0.00%,$0.00 ,0.00%,09009166002,
9009180100,New Haven,No,$252.69 ,0.00000879,$0.00 ,0,$84.17 ,0.00%,$0.00 ,0.00%,$168.52 ,0.00%,$0.00 ,0.00%,09009180100,
9009180200,New Haven,No,"$4,949.58 ",0.000172173,"$3,087.00 ",0.000159891,$356.98 ,0.00%,$0.00 ,0.00%,"$4,592.60 ",0.02%,"$3,087.00 ",0.02%,09009180200,
9009180300,New Haven,No,"$3,567.31 ",0.00012409,$150.00 ,0.000007769,"$1,383.66 ",0.01%,$0.00 ,0.00%,"$2,183.65 ",0.01%,$150.00 ,0.00%,09009180300,
9009180500,New Haven,No,"$6,120.26 ",0.000212896,"$9,312.00 ",0.000482315,$0.00 ,0.00%,$0.00 ,0.00%,"$6,120.26 ",0.02%,"$9,312.00 ",0.05%,09009180500,
9009180601,New Haven,No,"$2,692.72 ",0.000093668,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,"$2,692.72 ",0.01%,$0.00 ,0.00%,09009180601,
9009361401,New Haven,Yes,"$73,263.04 ",0.002548489,"$31,731.08 ",0.00164351,"$22,201.81 ",0.08%,$0.00 ,0.00%,"$51,061.24 ",0.18%,"$31,731.08 ",0.16%,09009361401,
9009361402,New Haven,Yes,"$30,565.54 ",0.001063236,"$6,583.00 ",0.000340966,"$5,395.74 ",0.02%,$0.00 ,0.00%,"$25,169.80 ",0.09%,"$6,583.00 ",0.03%,09009361402,
9009184700,North Branford,No,"$2,574.59 ",0.000089558,"$1,366.65 ",0.000070786,"$2,528.21 ",0.01%,"$1,366.65 ",0.01%,$46.38 ,0.00%,$0.00 ,0.00%,09009184700,
9009186100,North Branford,No,"$196,823.69 ",0.006846602,"$165,240.18 ",0.008558609,"$149,601.07 ",0.52%,"$55,844.18 ",0.29%,"$47,222.62 ",0.16%,"$109,396.00 ",0.57%,09009186100,
9009186200,North Branford,No,"$13,796.54 ",0.000479919,"$3,915.42 ",0.000202799,"$12,081.56 ",0.04%,"$3,380.42 ",0.02%,"$1,714.98 ",0.01%,$535.00 ,0.00%,09009186200,
9009142601,North Haven,No,$106.31 ,0.000003698,$405.48 ,0.000021002,$106.31 ,0.00%,$405.48 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009142601,
9009154500,North Haven,Yes,$25.79 ,0.000000897,$70.00 ,0.000003626,$0.00 ,0.00%,$70.00 ,0.00%,$25.79 ,0.00%,$0.00 ,0.00%,09009154500,
9009166002,North Haven,No,$253.64 ,0.000008823,$0.00 ,0,$253.64 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009166002,
9009167100,North Haven,No,"$263,000.89 ",0.009148606,"$403,921.39 ",0.020921093,"$192,628.98 ",0.67%,"$324,934.57 ",1.68%,"$70,371.91 ",0.25%,"$78,986.82 ",0.41%,09009167100,
9009167201,North Haven,No,"$155,597.47 ",0.005412529,"$78,462.85 ",0.00406398,"$91,332.34 ",0.32%,"$35,497.40 ",0.18%,"$64,265.12 ",0.22%,"$42,965.45 ",0.22%,09009167201,
9009167202,North Haven,No,"$188,024.15 ",0.006540506,"$81,299.16 ",0.004210887,"$95,205.00 ",0.33%,"$42,425.16 ",0.22%,"$92,819.15 ",0.32%,"$38,874.00 ",0.20%,09009167202,
9009167300,North Haven,No,"$216,467.49 ",0.007529921,"$94,333.76 ",0.004886013,"$164,845.44 ",0.57%,"$60,741.09 ",0.32%,"$51,622.05 ",0.18%,"$33,592.67 ",0.17%,09009167300,
9009176000,North Haven,No,$262.08 ,0.000009117,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,$262.08 ,0.00%,$0.00 ,0.00%,09009176000,
9009180602,North Haven,No,"$1,648.40 ",0.00005734,$0.00 ,0,"$1,648.40 ",0.01%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009180602,
9009120100,Orange,No,$266.90 ,0.000009284,$0.00 ,0,$257.25 ,0.00%,$0.00 ,0.00%,$9.65 ,0.00%,$0.00 ,0.00%,09009120100,
9009150700,Orange,No,$247.39 ,0.000008606,$0.00 ,0,$247.39 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009150700,
9009151200,Orange,No,$10.99 ,0.000000382,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,$10.99 ,0.00%,$0.00 ,0.00%,09009151200,
9009157100,Orange,No,"$191,102.26 ",0.00664758,"$74,346.30 ",0.003850764,"$54,732.65 ",0.19%,"$12,194.08 ",0.06%,"$136,369.61 ",0.47%,"$62,152.22 ",0.32%,09009157100,
9009157200,Orange,No,"$94,317.31 ",0.003280871,"$60,284.43 ",0.00312243,"$79,049.98 ",0.28%,"$58,769.43 ",0.30%,"$15,267.33 ",0.05%,"$1,515.00 ",0.01%,09009157200,
9009157300,Orange,No,"$75,245.26 ",0.002617441,"$26,788.46 ",0.001387507,"$71,746.98 ",0.25%,"$26,788.46 ",0.14%,"$3,498.28 ",0.01%,$0.00 ,0.00%,09009157300,
9009157400,Orange,No,"$115,423.78 ",0.004015069,"$67,298.27 ",0.003485711,"$96,830.36 ",0.34%,"$65,883.27 ",0.34%,"$18,593.41 ",0.07%,"$1,415.00 ",0.01%,09009157400,
UNKNOWN,Orange,No,$0.00 ,0,"$1,045,923.38 ",0.054173561,$0.00 ,0.00%,"$1,045,923.38 ",5.42%,$0.00 ,0.00%,$0.00 ,0.00%,0UNKNOWN,
9001090700,Shelton,No,$357.23 ,0.000012427,$455.00 ,0.000023567,$357.23 ,0.00%,$455.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001090700,
9001100100,Shelton,No,$322.14 ,0.000011206,$0.00 ,0,$322.14 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001100100,
9001100200,Shelton,No,$661.57 ,0.000023013,$0.00 ,0,$661.57 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001100200,
9001110100,Shelton,No,"$74,940.96 ",0.002606856,"$30,934.27 ",0.001602239,"$52,040.69 ",0.18%,"($9,422.23)",-0.05%,"$22,900.27 ",0.08%,"$40,356.50 ",0.21%,09001110100,
9001110201,Shelton,No,"$97,402.72 ",0.003388198,"$14,883.72 ",0.000770902,"$90,498.17 ",0.32%,"$13,798.72 ",0.07%,"$6,904.55 ",0.02%,"$1,085.00 ",0.01%,09001110201,
9001110202,Shelton,No,"$158,953.57 ",0.005529273,"$63,908.33 ",0.003310129,"$93,751.36 ",0.33%,"$44,918.33 ",0.23%,"$65,202.22 ",0.23%,"$18,990.00 ",0.10%,09001110202,
9001110301,Shelton,No,"$169,531.89 ",0.005897245,"$107,325.54 ",0.005558922,"$130,725.13 ",0.46%,"$16,509.54 ",0.09%,"$38,806.76 ",0.14%,"$90,816.00 ",0.47%,09001110301,
9001110302,Shelton,No,"$160,008.04 ",0.005565953,"$41,450.42 ",0.002146923,"$68,256.53 ",0.24%,"$7,879.57 ",0.04%,"$91,751.51 ",0.32%,"$33,570.85 ",0.17%,09001110302,
9001110400,Shelton,No,"$116,671.23 ",0.004058462,"$38,097.79 ",0.001973274,"$103,998.60 ",0.36%,"$38,097.79 ",0.20%,"$12,672.63 ",0.04%,$0.00 ,0.00%,09001110400,
9001110500,Shelton,No,"$154,515.48 ",0.005374892,"$37,189.07 ",0.001926206,"$145,953.89 ",0.51%,"$35,789.07 ",0.19%,"$8,561.59 ",0.03%,"$1,400.00 ",0.01%,09001110500,
9001110600,Shelton,No,"$180,429.48 ",0.006276322,"$34,668.11 ",0.001795633,"$168,412.73 ",0.59%,"$24,899.11 ",0.13%,"$12,016.75 ",0.04%,"$9,769.00 ",0.05%,09001110600,
9001073100,Stratford,Yes,$141.19 ,0.000004911,$0.00 ,0,$111.81 ,0.00%,$0.00 ,0.00%,$29.38 ,0.00%,$0.00 ,0.00%,09001073100,
9001073200,Stratford,No,$24.75 ,0.000000861,$0.00 ,0,$24.75 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001073200,
9001074300,Stratford,Yes,$74.44 ,0.000002589,$0.00 ,0,$74.44 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001074300,
9001080100,Stratford,No,"$77,556.24 ",0.002697829,"$43,049.80 ",0.002229763,"$62,750.41 ",0.22%,"$33,363.80 ",0.17%,"$14,805.83 ",0.05%,"$9,686.00 ",0.05%,09001080100,
9001080200,Stratford,No,"$81,110.35 ",0.002821461,"$30,683.30 ",0.00158924,"$59,642.53 ",0.21%,"$13,940.30 ",0.07%,"$21,467.82 ",0.08%,"$16,743.00 ",0.09%,09001080200,
9001080400,Stratford,No,"$172,750.33 ",0.006009199,"$145,496.59 ",0.00753599,"$88,468.87 ",0.31%,"$28,217.59 ",0.15%,"$84,281.45 ",0.29%,"$117,279.00 ",0.61%,09001080400,
9001080500,Stratford,No,"$114,475.48 ",0.003982082,"$69,356.51 ",0.003592318,"$74,292.15 ",0.26%,"$9,444.76 ",0.05%,"$40,183.33 ",0.14%,"$59,911.75 ",0.31%,09001080500,
9001080600,Stratford,No,"$66,335.92 ",0.002307525,"$48,844.63 ",0.002529906,"$47,643.44 ",0.17%,"$11,855.82 ",0.06%,"$18,692.48 ",0.07%,"$36,988.81 ",0.19%,09001080600,
9001080700,Stratford,No,"$96,799.38 ",0.003367211,"$23,260.80 ",0.001204792,"$39,906.64 ",0.14%,"$2,123.17 ",0.01%,"$56,892.74 ",0.20%,"$21,137.63 ",0.11%,09001080700,
9001080800,Stratford,No,"$119,105.33 ",0.004143133,"$46,879.01 ",0.002428097,"$90,142.87 ",0.31%,"$27,462.02 ",0.14%,"$28,962.46 ",0.10%,"$19,416.99 ",0.10%,09001080800,
9001080900,Stratford,No,"$101,876.51 ",0.003543821,"$21,531.14 ",0.001115205,"$87,129.94 ",0.30%,"$17,869.14 ",0.09%,"$14,746.57 ",0.05%,"$3,662.00 ",0.02%,09001080900,
9001081000,Stratford,No,"$78,725.21 ",0.002738492,"$22,307.20 ",0.001155401,"$74,235.94 ",0.26%,"$22,307.20 ",0.12%,"$4,489.27 ",0.02%,$0.00 ,0.00%,09001081000,
9001081100,Stratford,No,"$112,095.31 ",0.003899287,"$46,522.47 ",0.00240963,"$91,044.19 ",0.32%,"$26,991.47 ",0.14%,"$21,051.12 ",0.07%,"$19,531.00 ",0.10%,09001081100,
9001081200,Stratford,No,"$147,301.04 ",0.005123934,"$86,116.75 ",0.004460414,"$117,155.21 ",0.41%,"$27,958.75 ",0.15%,"$30,145.83 ",0.11%,"$58,158.00 ",0.30%,09001081200,
9001081300,Stratford,No,"$122,328.27 ",0.004255245,"$18,903.87 ",0.000979125,"$108,892.73 ",0.38%,"$17,998.87 ",0.09%,"$13,435.54 ",0.05%,$905.00 ,0.01%,09001081300,
9001090500,Stratford,No,$185.95 ,0.000006468,$0.00 ,0,$173.15 ,0.00%,$0.00 ,0.00%,$12.80 ,0.00%,$0.00 ,0.00%,09001090500,
9001090700,Stratford,No,$0.00 ,0,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001090700,
9001110302,Stratford,No,$33.96 ,0.000001181,$0.00 ,0,$33.96 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001110302,
9001072600,Trumbull,No,$45.16 ,0.000001571,$0.00 ,0,$45.16 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001072600,
9001072700,Trumbull,No,$343.73 ,0.000011957,$0.00 ,0,$343.73 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001072700,
9001072900,Trumbull,No,$55.30 ,0.000001924,$0.00 ,0,$55.30 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001072900,
9001073100,Trumbull,Yes,$104.89 ,0.000003649,$0.00 ,0,$104.89 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001073100,
9001081100,Trumbull,No,$515.47 ,0.000017931,$0.00 ,0,$515.47 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001081100,
9001081200,Trumbull,No,$82.85 ,0.000002882,$0.00 ,0,$82.85 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001081200,
9001090100,Trumbull,No,"$89,851.40 ",0.003125522,"$33,922.51 ",0.001757015,"$73,160.08 ",0.25%,"$16,556.51 ",0.09%,"$16,691.32 ",0.06%,"$17,366.00 ",0.09%,09001090100,
9001090200,Trumbull,No,"$178,026.79 ",0.006192743,"$48,895.52 ",0.002532542,"$155,060.72 ",0.54%,"$47,240.52 ",0.25%,"$22,966.07 ",0.08%,"$1,655.00 ",0.01%,09001090200,
9001090300,Trumbull,No,"$146,283.83 ",0.00508855,"$73,843.74 ",0.003824734,"$96,397.45 ",0.34%,"$72,453.74 ",0.38%,"$49,886.38 ",0.17%,"$1,390.00 ",0.01%,09001090300,
9001090400,Trumbull,No,"$167,153.75 ",0.00581452,"$55,301.17 ",0.002864322,"$123,003.77 ",0.43%,"$19,509.17 ",0.10%,"$44,149.98 ",0.15%,"$35,792.00 ",0.19%,09001090400,
9001090500,Trumbull,No,"$122,149.88 ",0.00424904,"$52,551.76 ",0.002721916,"$96,183.81 ",0.34%,"$41,763.76 ",0.22%,"$25,966.07 ",0.09%,"$10,788.00 ",0.06%,09001090500,
9001090600,Trumbull,No,"$84,552.54 ",0.002941199,"$143,242.98 ",0.007419265,"$81,146.46 ",0.28%,"$143,155.98 ",0.74%,"$3,406.08 ",0.01%,$87.00 ,0.00%,09001090600,
9001090700,Trumbull,No,"$148,299.16 ",0.005158654,"$33,489.93 ",0.00173461,"$126,179.61 ",0.44%,"$32,489.93 ",0.17%,"$22,119.55 ",0.08%,"$1,000.00 ",0.01%,09001090700,
9001100100,Trumbull,No,$666.13 ,0.000023172,$320.00 ,0.000016574,$87.98 ,0.00%,$0.00 ,0.00%,$578.15 ,0.00%,$320.00 ,0.00%,09001100100,
9001105100,Trumbull,No,$341.25 ,0.000011871,$0.00 ,0,$341.25 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001105100,
9001105200,Trumbull,No,$190.10 ,0.000006613,$0.00 ,0,$190.10 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001105200,
9001110302,Trumbull,No,$200.08 ,0.00000696,$0.00 ,0,$200.08 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001110302,
9001110400,Trumbull,No,$238.81 ,0.000008307,$0.00 ,0,$238.81 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001110400,
9001110500,Trumbull,No,$123.50 ,0.000004296,$0.00 ,0,$123.50 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001110500,
UNKNOWN,Upstream,No,$0.00 ,0,"$508,270.00 ",0.026325825,$0.00 ,0.00%,"$508,270.00 ",2.63%,$0.00 ,0.00%,$0.00 ,0.00%,0UNKNOWN,
9001074300,West Haven,Yes,$12.10 ,0.000000421,$0.00 ,0,$12.10 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001074300,
9009141100,West Haven,No,$28.79 ,0.000001002,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,$28.79 ,0.00%,$0.00 ,0.00%,09009141100,
9009141200,West Haven,No,$34.49 ,0.0000012,$0.00 ,0,$34.49 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009141200,
9009154100,West Haven,No,"$182,175.14 ",0.006337046,"$54,301.00 ",0.002812518,"$135,994.12 ",0.47%,"$30,274.00 ",0.16%,"$46,181.03 ",0.16%,"$24,027.00 ",0.12%,09009154100,
9009154200,West Haven,No,"$147,147.68 ",0.0051186,"$113,436.69 ",0.005875449,"$118,228.24 ",0.41%,"$58,679.92 ",0.30%,"$28,919.44 ",0.10%,"$54,756.77 ",0.28%,09009154200,
9009154500,West Haven,Yes,"$92,036.47 ",0.003201531,"$30,049.15 ",0.001556395,"$65,137.20 ",0.23%,"$5,706.40 ",0.03%,"$26,899.27 ",0.09%,"$24,342.75 ",0.13%,09009154500,
9009154600,West Haven,No,"$117,531.32 ",0.004088381,"$156,382.20 ",0.00809981,"$74,736.70 ",0.26%,"$18,188.20 ",0.09%,"$42,794.63 ",0.15%,"$138,194.00 ",0.72%,09009154600,
